time,id,celsius,farenh
2016/9/15 15:5:58,28 94 E9 3 0 0 80 5E,27.87,82.18
2016/9/15 15:6:1,28 2C9 3 0 0 80 84,27.25,81.05
2016/9/15 15:6:5,28 CA DE 3 0 0 80 B6,27.06,80.71
2016/9/15 15:6:8,28 23 DE 3 0 0 80 9,27.19,80.94
2016/9/15 15:6:11,28 7B DF 3 0 0 80 4B,27.44,81.39
2016/9/15 15:6:14,28F 6E CF 43 16 3 29,27.37,81.27
2016/9/15 15:9:17,28 94 E9 3 0 0 80 5E,29.37,84.87
2016/9/15 15:9:20,28 2C9 3 0 0 80 84,27.75,81.95
2016/9/15 15:9:23,28 CA DE 3 0 0 80 B6,27.31,81.16
2016/9/15 15:9:26,28 23 DE 3 0 0 80 9,29.87,85.77
2016/9/15 15:9:29,28 7B DF 3 0 0 80 4B,29.94,85.89
2016/9/15 15:9:32,28F 6E CF 43 16 3 29,32.25,90.05
2016/9/15 15:12:34,28 94 E9 3 0 0 80 5E,28.69,83.64
2016/9/15 15:12:38,28 2C9 3 0 0 80 84,28.19,82.74
2016/9/15 15:12:41,28 CA DE 3 0 0 80 B6,27.69,81.84
2016/9/15 15:12:44,28 23 DE 3 0 0 80 9,29.19,84.54
2016/9/15 15:12:47,28 7B DF 3 0 0 80 4B,29.06,84.31
2016/9/15 15:12:50,28F 6E CF 43 16 3 29,35.44,95.79
2016/9/15 15:15:52,28 94 E9 3 0 0 80 5E,27.37,81.27
2016/9/15 15:15:55,28 2C9 3 0 0 80 84,28.56,83.41
2016/9/15 15:15:58,28 CA DE 3 0 0 80 B6,28.31,82.96
2016/9/15 15:16:2,28 23 DE 3 0 0 80 9,28.00,82.40
2016/9/15 15:16:5,28 7B DF 3 0 0 80 4B,27.50,81.50
2016/9/15 15:16:8,28F 6E CF 43 16 3 29,29.69,85.44
2016/9/15 15:19:10,28 94 E9 3 0 0 80 5E,28.06,82.51
2016/9/15 15:19:13,28 2C9 3 0 0 80 84,28.50,83.30
2016/9/15 15:19:16,28 CA DE 3 0 0 80 B6,28.19,82.74
2016/9/15 15:19:19,28 23 DE 3 0 0 80 9,28.12,82.62
2016/9/15 15:19:22,28 7B DF 3 0 0 80 4B,27.75,81.95
2016/9/15 15:19:26,28F 6E CF 43 16 3 29,27.31,81.16
2016/9/15 15:22:28,28 94 E9 3 0 0 80 5E,26.87,80.37
2016/9/15 15:22:31,28 2C9 3 0 0 80 84,26.81,80.26
2016/9/15 15:22:34,28 CA DE 3 0 0 80 B6,26.81,80.26
2016/9/15 15:22:37,28 23 DE 3 0 0 80 9,26.81,80.26
2016/9/15 15:22:40,28 7B DF 3 0 0 80 4B,26.81,80.26
2016/9/15 15:22:43,28F 6E CF 43 16 3 29,28.81,83.86
2016/9/15 15:25:45,28 94 E9 3 0 0 80 5E,27.37,81.27
2016/9/15 15:25:48,28 2C9 3 0 0 80 84,27.06,80.71
2016/9/15 15:25:52,28 CA DE 3 0 0 80 B6,26.50,79.70
2016/9/15 15:25:55,28 23 DE 3 0 0 80 9,26.44,79.59
2016/9/15 15:25:58,28 7B DF 3 0 0 80 4B,26.44,79.59
2016/9/15 15:26:1,28F 6E CF 43 16 3 29,26.81,80.26
2016/9/15 15:29:3,28 94 E9 3 0 0 80 5E,26.62,79.93
2016/9/15 15:29:6,28 2C9 3 0 0 80 84,27.06,80.71
2016/9/15 15:29:9,28 CA DE 3 0 0 80 B6,26.81,80.26
2016/9/15 15:29:12,28 23 DE 3 0 0 80 9,26.62,79.93
2016/9/15 15:29:16,28 7B DF 3 0 0 80 4B,27.37,81.27
2016/9/15 15:29:19,28F 6E CF 43 16 3 29,26.87,80.37
2016/9/15 15:32:21,28 94 E9 3 0 0 80 5E,25.75,78.35
2016/9/15 15:32:24,28 2C9 3 0 0 80 84,26.87,80.37
2016/9/15 15:32:27,28 CA DE 3 0 0 80 B6,26.50,79.70
2016/9/15 15:32:30,28 23 DE 3 0 0 80 9,26.31,79.36
2016/9/15 15:32:33,28 7B DF 3 0 0 80 4B,26.94,80.49
2016/9/15 15:32:36,28F 6E CF 43 16 3 29,26.56,79.81
2016/9/15 15:35:39,28 94 E9 3 0 0 80 5E,25.75,78.35
2016/9/15 15:35:42,28 2C9 3 0 0 80 84,26.31,79.36
2016/9/15 15:35:45,28 CA DE 3 0 0 80 B6,26.19,79.14
2016/9/15 15:35:48,28 23 DE 3 0 0 80 9,26.62,79.93
2016/9/15 15:35:51,28 7B DF 3 0 0 80 4B,26.44,79.59
2016/9/15 15:35:54,28F 6E CF 43 16 3 29,26.31,79.36
2016/9/15 15:38:56,28 94 E9 3 0 0 80 5E,25.94,78.69
2016/9/15 15:38:59,28 2C9 3 0 0 80 84,26.06,78.91
2016/9/15 15:39:3,28 CA DE 3 0 0 80 B6,26.06,78.91
2016/9/15 15:39:6,28 23 DE 3 0 0 80 9,26.19,79.14
2016/9/15 15:39:9,28 7B DF 3 0 0 80 4B,26.25,79.25
2016/9/15 15:39:12,28F 6E CF 43 16 3 29,26.31,79.36
2016/9/15 15:42:14,28 94 E9 3 0 0 80 5E,25.81,78.46
2016/9/15 15:42:17,28 2C9 3 0 0 80 84,25.94,78.69
2016/9/15 15:42:20,28 CA DE 3 0 0 80 B6,26.06,78.91
2016/9/15 15:42:23,28 23 DE 3 0 0 80 9,25.94,78.69
2016/9/15 15:42:26,28 7B DF 3 0 0 80 4B,26.06,78.91
2016/9/15 15:42:30,28F 6E CF 43 16 3 29,26.12,79.02
2016/9/15 15:45:32,28 94 E9 3 0 0 80 5E,25.81,78.46
2016/9/15 15:45:35,28 2C9 3 0 0 80 84,26.06,78.91
2016/9/15 15:45:38,28 CA DE 3 0 0 80 B6,26.19,79.14
2016/9/15 15:45:41,28 23 DE 3 0 0 80 9,25.87,78.57
2016/9/15 15:45:44,28 7B DF 3 0 0 80 4B,26.25,79.25
2016/9/15 15:45:47,28F 6E CF 43 16 3 29,26.44,79.59
2016/9/15 15:48:49,28 94 E9 3 0 0 80 5E,25.37,77.68
2016/9/15 15:48:53,28 2C9 3 0 0 80 84,26.31,79.36
2016/9/15 15:48:56,28 CA DE 3 0 0 80 B6,25.75,78.35
2016/9/15 15:48:59,28 23 DE 3 0 0 80 9,25.87,78.57
2016/9/15 15:49:2,28 7B DF 3 0 0 80 4B,25.81,78.46
2016/9/15 15:49:5,28F 6E CF 43 16 3 29,26.06,78.91
2016/9/15 15:52:7,28 94 E9 3 0 0 80 5E,25.44,77.79
2016/9/15 15:52:10,28 2C9 3 0 0 80 84,25.94,78.69
2016/9/15 15:52:13,28 CA DE 3 0 0 80 B6,25.87,78.57
2016/9/15 15:52:17,28 23 DE 3 0 0 80 9,25.87,78.57
2016/9/15 15:52:20,28 7B DF 3 0 0 80 4B,26.19,79.14
2016/9/15 15:52:23,28F 6E CF 43 16 3 29,25.87,78.57
2016/9/15 15:55:25,28 94 E9 3 0 0 80 5E,25.81,78.46
2016/9/15 15:55:28,28 2C9 3 0 0 80 84,26.12,79.02
2016/9/15 15:55:31,28 CA DE 3 0 0 80 B6,25.87,78.57
2016/9/15 15:55:34,28 23 DE 3 0 0 80 9,25.94,78.69
2016/9/15 15:55:37,28 7B DF 3 0 0 80 4B,26.62,79.93
2016/9/15 15:55:41,28F 6E CF 43 16 3 29,26.19,79.14
2016/9/15 15:58:43,28 94 E9 3 0 0 80 5E,25.81,78.46
2016/9/15 15:58:46,28 2C9 3 0 0 80 84,25.31,77.56
2016/9/15 15:58:49,28 CA DE 3 0 0 80 B6,25.31,77.56
2016/9/15 15:58:52,28 23 DE 3 0 0 80 9,25.56,78.01
2016/9/15 15:58:55,28 7B DF 3 0 0 80 4B,25.69,78.24
2016/9/15 15:58:58,28F 6E CF 43 16 3 29,25.94,78.69
2016/9/15 16:2:0,28 94 E9 3 0 0 80 5E,26.12,79.02
2016/9/15 16:2:3,28 2C9 3 0 0 80 84,25.06,77.11
2016/9/15 16:2:7,28 CA DE 3 0 0 80 B6,25.00,77.00
2016/9/15 16:2:10,28 23 DE 3 0 0 80 9,25.62,78.12
2016/9/15 16:2:13,28 7B DF 3 0 0 80 4B,25.31,77.56
2016/9/15 16:2:16,28F 6E CF 43 16 3 29,25.62,78.12
2016/9/15 16:5:18,28 94 E9 3 0 0 80 5E,27.31,81.16
2016/9/15 16:5:21,28 2C9 3 0 0 80 84,25.62,78.12
2016/9/15 16:5:24,28 CA DE 3 0 0 80 B6,25.37,77.68
2016/9/15 16:5:27,28 23 DE 3 0 0 80 9,26.44,79.59
2016/9/15 16:5:31,28 7B DF 3 0 0 80 4B,25.56,78.01
2016/9/15 16:5:34,28F 6E CF 43 16 3 29,25.87,78.57
2016/9/15 16:8:36,28 94 E9 3 0 0 80 5E,26.69,80.04
2016/9/15 16:8:39,28 2C9 3 0 0 80 84,26.06,78.91
2016/9/15 16:8:42,28 CA DE 3 0 0 80 B6,25.56,78.01
2016/9/15 16:8:45,28 23 DE 3 0 0 80 9,26.00,78.80
2016/9/15 16:8:48,28 7B DF 3 0 0 80 4B,25.62,78.12
2016/9/15 16:8:51,28F 6E CF 43 16 3 29,25.81,78.46
2016/9/15 16:11:54,28 94 E9 3 0 0 80 5E,25.87,78.57
2016/9/15 16:11:57,28 2C9 3 0 0 80 84,25.69,78.24
2016/9/15 16:12:0,28 CA DE 3 0 0 80 B6,25.37,77.68
2016/9/15 16:12:3,28 23 DE 3 0 0 80 9,25.37,77.68
2016/9/15 16:12:6,28 7B DF 3 0 0 80 4B,25.44,77.79
2016/9/15 16:12:9,28F 6E CF 43 16 3 29,25.44,77.79
2016/9/15 16:15:11,28 94 E9 3 0 0 80 5E,25.94,78.69
2016/9/15 16:15:14,28 2C9 3 0 0 80 84,25.81,78.46
2016/9/15 16:15:18,28 CA DE 3 0 0 80 B6,25.37,77.68
2016/9/15 16:15:21,28 23 DE 3 0 0 80 9,25.37,77.68
2016/9/15 16:15:24,28 7B DF 3 0 0 80 4B,25.56,78.01
2016/9/15 16:15:27,28F 6E CF 43 16 3 29,25.37,77.68
2016/9/15 16:18:29,28 94 E9 3 0 0 80 5E,25.81,78.46
2016/9/15 16:18:32,28 2C9 3 0 0 80 84,25.62,78.12
2016/9/15 16:18:35,28 CA DE 3 0 0 80 B6,25.19,77.34
2016/9/15 16:18:38,28 23 DE 3 0 0 80 9,25.37,77.68
2016/9/15 16:18:41,28 7B DF 3 0 0 80 4B,25.50,77.90
2016/9/15 16:18:45,28F 6E CF 43 16 3 29,25.31,77.56
2016/9/15 16:21:47,28 94 E9 3 0 0 80 5E,25.44,77.79
2016/9/15 16:21:50,28 2C9 3 0 0 80 84,25.37,77.68
2016/9/15 16:21:53,28 CA DE 3 0 0 80 B6,25.25,77.45
2016/9/15 16:21:56,28 23 DE 3 0 0 80 9,25.19,77.34
2016/9/15 16:21:59,28 7B DF 3 0 0 80 4B,25.37,77.68
2016/9/15 16:22:2,28F 6E CF 43 16 3 29,25.25,77.45
2016/9/15 16:25:4,28 94 E9 3 0 0 80 5E,24.87,76.77
2016/9/15 16:25:8,28 2C9 3 0 0 80 84,24.81,76.66
2016/9/15 16:25:11,28 CA DE 3 0 0 80 B6,25.06,77.11
2016/9/15 16:25:14,28 23 DE 3 0 0 80 9,24.69,76.44
2016/9/15 16:25:17,28 7B DF 3 0 0 80 4B,24.87,76.77
2016/9/15 16:25:20,28F 6E CF 43 16 3 29,24.94,76.89
2016/9/15 16:28:22,28 94 E9 3 0 0 80 5E,24.94,76.89
2016/9/15 16:28:25,28 2C9 3 0 0 80 84,24.94,76.89
2016/9/15 16:28:28,28 CA DE 3 0 0 80 B6,25.00,77.00
2016/9/15 16:28:32,28 23 DE 3 0 0 80 9,24.94,76.89
2016/9/15 16:28:35,28 7B DF 3 0 0 80 4B,25.00,77.00
2016/9/15 16:28:38,28F 6E CF 43 16 3 29,25.25,77.45
2016/9/15 16:31:40,28 94 E9 3 0 0 80 5E,24.62,76.32
2016/9/15 16:31:43,28 2C9 3 0 0 80 84,24.62,76.32
2016/9/15 16:31:46,28 CA DE 3 0 0 80 B6,24.81,76.66
2016/9/15 16:31:49,28 23 DE 3 0 0 80 9,24.69,76.44
2016/9/15 16:31:52,28 7B DF 3 0 0 80 4B,24.87,76.77
2016/9/15 16:31:55,28F 6E CF 43 16 3 29,25.00,77.00
2016/9/15 16:34:58,28 94 E9 3 0 0 80 5E,24.50,76.10
2016/9/15 16:35:1,28 2C9 3 0 0 80 84,24.62,76.32
2016/9/15 16:35:4,28 CA DE 3 0 0 80 B6,24.75,76.55
2016/9/15 16:35:7,28 23 DE 3 0 0 80 9,24.69,76.44
2016/9/15 16:35:10,28 7B DF 3 0 0 80 4B,24.75,76.55
2016/9/15 16:35:13,28F 6E CF 43 16 3 29,24.87,76.77
2016/9/15 16:38:15,28 94 E9 3 0 0 80 5E,24.56,76.21
2016/9/15 16:38:18,28 2C9 3 0 0 80 84,24.81,76.66
2016/9/15 16:38:22,28 CA DE 3 0 0 80 B6,24.69,76.44
2016/9/15 16:38:25,28 23 DE 3 0 0 80 9,24.62,76.32
2016/9/15 16:38:28,28 7B DF 3 0 0 80 4B,24.69,76.44
2016/9/15 16:38:31,28F 6E CF 43 16 3 29,24.75,76.55
2016/9/15 16:41:33,28 94 E9 3 0 0 80 5E,24.75,76.55
2016/9/15 16:41:36,28 2C9 3 0 0 80 84,24.94,76.89
2016/9/15 16:41:39,28 CA DE 3 0 0 80 B6,24.81,76.66
2016/9/15 16:41:42,28 23 DE 3 0 0 80 9,24.94,76.89
2016/9/15 16:41:46,28 7B DF 3 0 0 80 4B,24.81,76.66
2016/9/15 16:41:49,28F 6E CF 43 16 3 29,24.81,76.66
2016/9/15 16:44:51,28 94 E9 3 0 0 80 5E,24.69,76.44
2016/9/15 16:44:54,28 2C9 3 0 0 80 84,24.87,76.77
2016/9/15 16:44:57,28 CA DE 3 0 0 80 B6,24.75,76.55
2016/9/15 16:45:0,28 23 DE 3 0 0 80 9,24.87,76.77
2016/9/15 16:45:3,28 7B DF 3 0 0 80 4B,24.75,76.55
2016/9/15 16:45:6,28F 6E CF 43 16 3 29,24.75,76.55
2016/9/15 16:48:9,28 94 E9 3 0 0 80 5E,24.75,76.55
2016/9/15 16:48:12,28 2C9 3 0 0 80 84,24.87,76.77
2016/9/15 16:48:15,28 CA DE 3 0 0 80 B6,24.87,76.77
2016/9/15 16:48:18,28 23 DE 3 0 0 80 9,24.94,76.89
2016/9/15 16:48:21,28 7B DF 3 0 0 80 4B,24.87,76.77
2016/9/15 16:48:24,28F 6E CF 43 16 3 29,24.81,76.66
2016/9/15 16:51:26,28 94 E9 3 0 0 80 5E,24.69,76.44
2016/9/15 16:51:29,28 2C9 3 0 0 80 84,24.75,76.55
2016/9/15 16:51:32,28 CA DE 3 0 0 80 B6,24.75,76.55
2016/9/15 16:51:36,28 23 DE 3 0 0 80 9,24.81,76.66
2016/9/15 16:51:39,28 7B DF 3 0 0 80 4B,24.81,76.66
2016/9/15 16:51:42,28F 6E CF 43 16 3 29,24.75,76.55
2016/9/15 16:54:44,28 94 E9 3 0 0 80 5E,24.44,75.99
2016/9/15 16:54:47,28 2C9 3 0 0 80 84,24.37,75.87
2016/9/15 16:54:50,28 CA DE 3 0 0 80 B6,24.50,76.10
2016/9/15 16:54:53,28 23 DE 3 0 0 80 9,24.50,76.10
2016/9/15 16:54:56,28 7B DF 3 0 0 80 4B,24.37,75.87
2016/9/15 16:55:0,28F 6E CF 43 16 3 29,24.44,75.99
