time,id,celsius,farenh
2016/9/8 16:12:31,28 94 E9 3 0 0 80 5E,27.37,81.27
2016/9/8 16:12:34,28 2C9 3 0 0 80 84,23.75,74.75
2016/9/8 16:12:38,28 CA DE 3 0 0 80 B6,24.94,76.89
2016/9/8 16:12:41,28 23 DE 3 0 0 80 9,25.12,77.22
2016/9/8 16:12:44,28 7B DF 3 0 0 80 4B,25.25,77.45
2016/9/8 16:17:40,28 94 E9 3 0 0 80 5E,29.50,85.10
2016/9/8 16:17:44,28 2C9 3 0 0 80 84,21.87,71.37
2016/9/8 16:17:47,28 CA DE 3 0 0 80 B6,22.19,71.94
2016/9/8 16:17:50,28 23 DE 3 0 0 80 9,27.94,82.29
2016/9/8 16:17:53,28 7B DF 3 0 0 80 4B,23.69,74.64
2016/9/8 16:19:55,28 94 E9 3 0 0 80 5E,29.75,85.55
2016/9/8 16:19:59,28 2C9 3 0 0 80 84,21.94,71.49
2016/9/8 16:20:2,28 CA DE 3 0 0 80 B6,22.69,72.84
2016/9/8 16:20:5,28 23 DE 3 0 0 80 9,27.94,82.29
2016/9/8 16:20:8,28 7B DF 3 0 0 80 4B,23.56,74.41
2016/9/8 16:22:10,28 94 E9 3 0 0 80 5E,21.44,70.59
2016/9/8 16:22:13,28 2C9 3 0 0 80 84,20.62,69.12
2016/9/8 16:22:16,28 CA DE 3 0 0 80 B6,21.44,70.59
2016/9/8 16:22:19,28 23 DE 3 0 0 80 9,28.06,82.51
2016/9/8 16:22:23,28 7B DF 3 0 0 80 4B,23.19,73.74
2016/9/8 16:24:25,28 94 E9 3 0 0 80 5E,20.31,68.56
2016/9/8 16:24:28,28 2C9 3 0 0 80 84,20.75,69.35
2016/9/8 16:24:31,28 CA DE 3 0 0 80 B6,21.75,71.15
2016/9/8 16:24:34,28 23 DE 3 0 0 80 9,28.31,82.96
2016/9/8 16:24:37,28 7B DF 3 0 0 80 4B,24.06,75.31
2016/9/8 16:26:39,28 94 E9 3 0 0 80 5E,20.37,68.68
2016/9/8 16:26:42,28 2C9 3 0 0 80 84,21.31,70.36
2016/9/8 16:26:45,28 CA DE 3 0 0 80 B6,22.25,72.05
2016/9/8 16:26:49,28 23 DE 3 0 0 80 9,22.62,72.72
2016/9/8 16:26:52,28 7B DF 3 0 0 80 4B,22.19,71.94
2016/9/8 16:28:54,28 94 E9 3 0 0 80 5E,20.44,68.79
2016/9/8 16:28:57,28 2C9 3 0 0 80 84,21.25,70.25
2016/9/8 16:29:0,28 CA DE 3 0 0 80 B6,22.12,71.82
2016/9/8 16:29:3,28 23 DE 3 0 0 80 9,20.87,69.57
2016/9/8 16:29:6,28 7B DF 3 0 0 80 4B,20.75,69.35
2016/9/8 16:31:8,28 94 E9 3 0 0 80 5E,21.31,70.36
2016/9/8 16:31:12,28 2C9 3 0 0 80 84,21.31,70.36
2016/9/8 16:31:15,28 CA DE 3 0 0 80 B6,22.19,71.94
2016/9/8 16:31:18,28 23 DE 3 0 0 80 9,21.37,70.47
2016/9/8 16:31:21,28 7B DF 3 0 0 80 4B,21.44,70.59
2016/9/8 16:33:23,28 94 E9 3 0 0 80 5E,20.87,69.57
2016/9/8 16:33:26,28 2C9 3 0 0 80 84,19.62,67.32
2016/9/8 16:33:29,28 CA DE 3 0 0 80 B6,20.50,68.90
2016/9/8 16:33:32,28 23 DE 3 0 0 80 9,20.69,69.24
2016/9/8 16:33:36,28 7B DF 3 0 0 80 4B,20.87,69.57
2016/9/8 16:35:38,28 94 E9 3 0 0 80 5E,21.00,69.80
2016/9/8 16:35:41,28 2C9 3 0 0 80 84,19.31,66.76
2016/9/8 16:35:44,28 CA DE 3 0 0 80 B6,19.50,67.10
2016/9/8 16:35:47,28 23 DE 3 0 0 80 9,20.81,69.46
2016/9/8 16:35:50,28 7B DF 3 0 0 80 4B,20.69,69.24
2016/9/8 16:37:52,28 94 E9 3 0 0 80 5E,21.37,70.47
2016/9/8 16:37:55,28 2C9 3 0 0 80 84,19.62,67.32
2016/9/8 16:37:58,28 CA DE 3 0 0 80 B6,19.75,67.55
2016/9/8 16:38:2,28 23 DE 3 0 0 80 9,21.00,69.80
2016/9/8 16:38:5,28 7B DF 3 0 0 80 4B,20.81,69.46
2016/9/8 16:40:7,28 94 E9 3 0 0 80 5E,21.31,70.36
2016/9/8 16:40:10,28 2C9 3 0 0 80 84,19.62,67.32
2016/9/8 16:40:13,28 CA DE 3 0 0 80 B6,19.56,67.21
2016/9/8 16:40:16,28 23 DE 3 0 0 80 9,20.94,69.69
2016/9/8 16:40:19,28 7B DF 3 0 0 80 4B,20.69,69.24
2016/9/8 16:42:21,28 94 E9 3 0 0 80 5E,21.37,70.47
2016/9/8 16:42:25,28 2C9 3 0 0 80 84,20.19,68.34
2016/9/8 16:42:28,28 CA DE 3 0 0 80 B6,19.94,67.89
2016/9/8 16:42:31,28 23 DE 3 0 0 80 9,21.06,69.91
2016/9/8 16:42:34,28 7B DF 3 0 0 80 4B,20.87,69.57
2016/9/8 16:44:36,28 94 E9 3 0 0 80 5E,21.06,69.91
2016/9/8 16:44:39,28 2C9 3 0 0 80 84,19.06,66.31
2016/9/8 16:44:42,28 CA DE 3 0 0 80 B6,19.19,66.54
2016/9/8 16:44:45,28 23 DE 3 0 0 80 9,20.87,69.57
2016/9/8 16:44:49,28 7B DF 3 0 0 80 4B,20.19,68.34
2016/9/8 16:46:51,28 94 E9 3 0 0 80 5E,21.00,69.80
2016/9/8 16:46:54,28 2C9 3 0 0 80 84,19.00,66.20
2016/9/8 16:46:57,28 CA DE 3 0 0 80 B6,19.19,66.54
2016/9/8 16:47:0,28 23 DE 3 0 0 80 9,20.69,69.24
2016/9/8 16:47:3,28 7B DF 3 0 0 80 4B,21.87,71.37
2016/9/8 16:49:5,28 94 E9 3 0 0 80 5E,21.62,70.93
2016/9/8 16:49:8,28 2C9 3 0 0 80 84,19.37,66.87
2016/9/8 16:49:11,28 CA DE 3 0 0 80 B6,19.31,66.76
2016/9/8 16:49:15,28 23 DE 3 0 0 80 9,20.12,68.22
2016/9/8 16:49:18,28 7B DF 3 0 0 80 4B,20.87,69.57
2016/9/8 16:51:20,28 94 E9 3 0 0 80 5E,21.62,70.93
2016/9/8 16:51:23,28 2C9 3 0 0 80 84,19.19,66.54
2016/9/8 16:51:26,28 CA DE 3 0 0 80 B6,19.31,66.76
2016/9/8 16:51:29,28 23 DE 3 0 0 80 9,19.87,67.77
2016/9/8 16:51:32,28 7B DF 3 0 0 80 4B,20.81,69.46
